"name","value","taxonomy","code1","code2"
"RIAL OMANI  DE OM AN","OMR","currency",NULL,NULL
"BALBOA PANAMEÑA","PAB","currency",NULL,NULL
"SOL PERUANO","PEN","currency",NULL,NULL
"KINA DE PAPUA NUEVA GUINEA","PGK","currency",NULL,NULL
"PESO FILIPINO","PHP","currency",NULL,NULL
"RUPIA PAKISTANI","PKR","currency",NULL,NULL
"ZLOTY POLACO","PLN","currency",NULL,NULL
"GUARANI PARAGUAYO","PYG","currency",NULL,NULL
"RIAL QATARI","QAR","currency",NULL,NULL
"LEU RUMANO","RON","currency",NULL,NULL
"DINAR SERBIO","RSD","currency",NULL,NULL
"RUBLO RUSO","RUB","currency",NULL,NULL
"FRANCO RUANDES","RWF","currency",NULL,NULL
"RIYAL SAUDI","SAR","currency",NULL,NULL
"DOLAR DE LAS ISLAS SALOMON","SBD","currency",NULL,NULL
"RUPIA DE SEYCHELLES","SCR","currency",NULL,NULL
"LIBRA SUDANESA","SDG","currency",NULL,NULL
"CORONA SUECA","SEK","currency",NULL,NULL
"DOLAR DE SINGAPUR","SGD","currency",NULL,NULL
"LIBRA DE SANTA HELENA","SHP","currency",NULL,NULL
"LEONE DE SIERRA LEONA","SLL","currency",NULL,NULL
"CHELIN SOMALI","SOS","currency",NULL,NULL
"DOBRA DE SANTO TOME Y PRINCIPE","STD","currency",NULL,NULL
"EL SALVADOR COLON","SVC","currency",NULL,NULL
"LIBRA SIRIA","SYP","currency",NULL,NULL
"LILANGENI SUAZI  DE SUAZILANDIA","SZL","currency",NULL,NULL
"BAHT TAILANDES","THB","currency",NULL,NULL
"RUBLO TAYIK  DE TAYIKIST AN","TJS","currency",NULL,NULL
"NUEVO MANAT TURCOMANO","TMT","currency",NULL,NULL
"DINAR TUNECINO","TND","currency",NULL,NULL
"PA ANGA TONGANO","TOP","currency",NULL,NULL
"NUEVA LIRA TURCA","TRY","currency",NULL,NULL
"DOLAR DE TRINIDAD Y TOBAGO","TTD","currency",NULL,NULL
"DOLAR TAIWANES","TWD","currency",NULL,NULL
"CHELIN TANZANO","TZS","currency",NULL,NULL
"HRYVNIA UCRANIANA","UAH","currency",NULL,NULL
"CHELIN UGANDES","UGX","currency",NULL,NULL
"DOLAR ESTADOUNIDENSE","USD","currency",NULL,NULL
"PESO URUGUAYO","UYU","currency",NULL,NULL
"SOM UZBECO","UZS","currency",NULL,NULL
"BOLIVAR FUERTE","VEF","currency",NULL,NULL
"DONG VIETNAMITA","VND","currency",NULL,NULL
"VATU VANUATENSE","VUV","currency",NULL,NULL
"TALA SAMOANA","WST","currency",NULL,NULL
"FRANCO DE AFRICA CENTRAL","XAF","currency",NULL,NULL
"DOLAR DEL CARIBE ORIENTAL","XCD","currency",NULL,NULL
"FRANCO DE AFRICA OCCIDENTAL","XOF","currency",NULL,NULL
"FRANCO DE NUEVA ZELANDA","XPF","currency",NULL,NULL
"RIAL YEMENI  DE YEMEN","YER","currency",NULL,NULL
"RAND SUDAFRICANO","ZAR","currency",NULL,NULL
"KWACHA ZAMBIANO","ZMK","currency",NULL,NULL
"DOLAR ZIMBABWES","ZWL","currency",NULL,NULL
"ACTO O CONDUCTA / TENTATIVA DE OPERACIÓN","NON","currency",NULL,NULL
